0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0.0,0.0,3236.2139,0.0,0.0,0.0,1016.9829,0.0,0.0,0.0,0.0,703.7338,0.0,3545.8726,0.0,4234.9766,642.33984,3579.3354,0.0,3187.0413,0.0,2638.4653,0.0,1727.8735,0.0,0.0,0.0,348.98807,1349.0333,3158.0786,0.0
0.0,0.0,0.0,3947.711,0.0,0.0,0.0,1208.7438,0.0,0.0,0.0,0.0,888.92834,0.0,4041.5222,0.0,5056.005,546.11224,4147.042,0.0,3655.5273,0.0,3427.1414,0.0,1977.7491,0.0,0.0,0.0,413.28406,1897.6796,3810.0708,0.0
0.0,0.0,0.0,3801.8457,0.0,0.0,0.0,1288.725,0.0,0.0,0.0,0.0,944.1534,0.0,3976.9963,0.0,5013.931,489.8498,4126.8804,0.0,3410.6406,0.0,3215.6824,0.0,1869.0093,0.0,0.0,0.0,460.4631,1676.0408,3760.345,0.0
0.0,0.0,0.0,2707.5713,0.0,0.0,0.0,913.37756,0.0,0.0,0.0,0.0,729.5155,0.0,2753.2693,0.0,3550.6008,541.4016,3031.565,0.0,2641.0652,0.0,1929.7561,0.0,1529.8494,0.0,0.0,0.0,374.01648,1200.3197,3078.4663,0.0
0.0,0.0,0.0,1344.5945,0.0,0.0,0.0,270.54114,0.0,0.0,70.79766,0.0,412.18555,0.0,1156.5499,0.0,1605.0134,698.8759,1535.5492,0.0,1842.7347,0.0,264.65228,162.47226,1185.392,0.0,0.0,0.0,257.87305,685.98724,2222.258,0.0
0.0,0.0,0.0,2701.9167,0.0,0.0,0.0,977.58026,0.0,0.0,0.0,0.0,736.3657,0.0,2788.9802,0.0,3584.3481,500.41562,3077.988,0.0,2576.438,0.0,1974.5869,0.0,1500.6624,0.0,0.0,0.0,364.22037,1164.3265,3030.7598,0.0
0.0,0.0,0.0,2175.0068,0.0,0.0,0.0,623.2488,0.0,0.0,0.0,0.0,533.11255,0.0,2151.091,0.0,2726.6487,646.37317,2426.1917,0.0,2416.779,0.0,1350.994,0.0,1429.41,0.0,0.0,0.0,269.87564,1047.5042,2641.146,0.0
0.0,0.0,0.0,2260.01,0.0,0.0,0.0,809.68726,0.0,0.0,0.0,0.0,606.52765,0.0,2316.7983,0.0,2958.2607,539.28357,2631.1946,0.0,2310.531,0.0,1508.7759,0.0,1385.7795,0.0,0.0,0.0,289.9545,992.376,2672.0034,0.0
0.0,0.0,0.0,2798.0298,0.0,0.0,0.0,788.50433,0.0,0.0,0.0,0.0,693.3392,0.0,2784.302,0.0,3557.724,639.276,3003.7534,0.0,2866.5889,0.0,1974.4515,0.0,1625.2294,0.0,0.0,0.0,371.2051,1328.1674,3161.9746,0.0
0.0,0.0,0.0,2308.1377,0.0,0.0,0.0,733.58923,0.0,0.0,0.0,0.0,502.48447,0.0,2480.7942,0.0,2961.801,647.747,2655.9858,0.0,2512.228,0.0,1630.6926,0.0,1445.9972,0.0,0.0,0.0,230.92107,1003.56915,2524.99,0.0
0.0,0.0,0.0,1593.9332,0.0,0.0,0.0,307.15155,0.0,0.0,0.0,0.0,476.02225,0.0,1374.8765,0.0,1907.9795,698.74115,1736.3076,0.0,2040.1006,0.0,501.6266,57.421085,1282.1646,0.0,0.0,0.0,296.9952,825.0061,2436.1177,0.0
0.0,0.0,0.0,368.01633,0.0,0.0,0.0,243.8357,409.27866,0.0,348.71024,0.0,134.76703,0.0,373.9763,0.0,432.31305,594.3298,831.6749,0.0,974.30054,205.52878,0.0,528.10046,791.64716,0.0,232.4522,0.0,23.131414,126.37747,1152.8922,0.0
0.0,0.0,0.0,368.19034,0.0,0.0,0.0,223.28067,455.69708,0.0,310.56104,0.0,165.47433,0.0,341.80823,0.0,440.84796,597.63855,810.56305,0.0,967.56775,192.38666,0.0,562.5379,789.413,0.0,258.37817,0.0,58.06048,120.10046,1227.1921,0.0
0.0,0.0,0.0,541.4577,0.0,0.0,0.0,159.9907,377.84622,0.0,190.00342,0.0,295.12656,0.0,350.6909,0.0,644.0471,619.76984,855.5209,0.0,1105.6392,30.444044,0.0,639.73083,861.8909,0.0,190.98686,0.0,187.52664,243.26775,1632.5236,0.0
0.0,0.0,0.0,566.251,0.0,0.0,0.0,168.34254,139.58772,0.0,402.69104,0.0,144.50443,0.0,510.04175,0.0,599.5905,673.14276,917.128,0.0,1249.3723,92.96826,0.0,468.83035,914.2564,0.0,0.0,0.0,46.93587,292.27545,1344.2285,0.0
0.0,0.0,0.0,3529.005,0.0,0.0,0.0,949.8573,0.0,0.0,0.0,0.0,1080.0105,0.0,3314.6248,0.0,4600.956,578.04156,3604.141,0.0,3262.1611,0.0,2389.1682,0.0,1819.8995,0.0,0.0,0.0,675.711,1643.4427,4201.213,0.0
0.0,0.0,0.0,3592.5676,0.0,0.0,0.0,918.46875,0.0,0.0,0.0,0.0,929.5148,0.0,3589.8596,0.0,4631.4995,692.55133,3703.6838,0.0,3494.3389,0.0,2623.6287,0.0,1894.6388,0.0,0.0,0.0,564.38824,1629.6289,3922.2449,0.0
0.0,0.0,0.0,3193.667,0.0,0.0,0.0,758.0744,0.0,0.0,0.0,0.0,874.4421,0.0,3034.0874,0.0,4055.044,686.85944,3248.8713,0.0,3197.735,0.0,2127.0125,0.0,1780.0574,0.0,0.0,0.0,543.3857,1534.9022,3754.279,0.0
0.0,0.0,0.0,3929.483,0.0,0.0,0.0,980.3442,0.0,0.0,0.0,0.0,1038.0591,0.0,3779.37,0.0,5008.0776,644.48566,3939.4062,0.0,3714.5012,0.0,2952.9377,0.0,2019.1924,0.0,0.0,0.0,616.3731,1903.5027,4279.2095,0.0
0.0,0.0,0.0,3989.6824,0.0,0.0,0.0,632.42096,0.0,0.0,0.0,0.0,1279.7367,0.0,3323.9287,0.0,4968.982,752.1877,3617.3237,0.0,3854.5842,0.0,2365.8335,0.0,2105.2637,0.0,0.0,0.0,917.3058,2106.845,5121.0327,0.0
0.0,0.0,0.0,3762.313,0.0,0.0,0.0,996.1765,0.0,0.0,0.0,0.0,1106.6105,0.0,3567.176,0.0,4885.24,591.3981,3812.5974,0.0,3466.8074,0.0,2661.8367,0.0,1906.8239,0.0,0.0,0.0,685.4826,1766.048,4338.1963,0.0
0.0,0.0,0.0,1945.4033,0.0,0.0,0.0,456.23853,0.0,0.0,0.0,0.0,542.8503,0.0,1778.5562,0.0,2389.141,674.05426,2110.431,0.0,2272.9119,0.0,934.27203,0.0,1383.2662,0.0,0.0,0.0,316.93207,977.5983,2652.7585,0.0
0.0,0.0,0.0,5150.4053,0.0,0.0,0.0,1617.7122,0.0,0.0,0.0,0.0,1120.9359,0.0,5423.5176,0.0,6682.1997,533.7492,5375.3496,0.0,4540.3857,0.0,4796.9917,0.0,2363.2932,0.0,0.0,0.0,517.69385,2386.5295,4589.049,0.0
0.0,0.0,0.0,828.35297,0.0,0.0,0.0,150.00659,0.0,0.0,274.82425,0.0,274.3202,0.0,649.83673,0.0,925.6083,709.5266,1075.6356,0.0,1472.0325,0.0,0.0,455.76633,1021.36615,0.0,0.0,0.0,168.24846,446.08676,1787.3468,0.0
0.0,0.0,0.0,3636.6775,0.0,0.0,0.0,1429.5968,0.0,0.0,0.0,0.0,842.73047,0.0,4033.6687,0.0,4890.272,427.85934,4159.5,0.0,3202.9058,0.0,3286.4702,0.0,1765.9636,0.0,0.0,0.0,342.51782,1488.2474,3342.1958,0.0
0.0,0.0,0.0,2299.6145,0.0,0.0,0.0,809.3186,0.0,0.0,0.0,0.0,678.53906,0.0,2285.6377,0.0,3029.4233,520.6613,2641.5144,0.0,2297.174,0.0,1450.9032,0.0,1387.9193,0.0,0.0,0.0,353.51755,1010.73444,2839.9045,0.0
0.0,0.0,0.0,4850.961,0.0,0.0,0.0,1337.9816,0.0,0.0,0.0,0.0,1395.0364,0.0,4761.827,0.0,6389.6377,530.67773,4882.1255,0.0,4189.396,0.0,3810.505,0.0,2230.973,0.0,0.0,0.0,853.4242,2167.7937,5120.386,0.0
0.0,0.0,0.0,2492.9048,0.0,0.0,0.0,509.639,0.0,0.0,0.0,0.0,739.2336,0.0,2317.065,0.0,3152.2876,738.9189,2568.5493,0.0,2714.9673,0.0,1282.2899,0.0,1559.2185,0.0,0.0,0.0,503.51355,1157.2656,3282.1104,0.0
